"year","state","state_po","party_simplified","candidatevotes","totalvotes","VAP","VEP","Turnout","Turnout_Percent_VAP","Turnout_Percent_VEP"
1980,"NEVADA","NV","OTHERS",22009,243692,163945000,159635102,86496851,0.528,0.542
1980,"NEVADA","NV","REPUBLICAN",155017,243692,163945000,159635102,86496851,0.528,0.542
1980,"NEW HAMPSHIRE","NH","DEMOCRAT",108864,383990,163945000,159635102,86496851,0.528,0.542
1980,"NEW HAMPSHIRE","NH","OTHERS",53421,383990,163945000,159635102,86496851,0.528,0.542
1980,"NEW HAMPSHIRE","NH","REPUBLICAN",221705,383990,163945000,159635102,86496851,0.528,0.542
1980,"NEW JERSEY","NJ","DEMOCRAT",1147364,2975684,163945000,159635102,86496851,0.528,0.542
1980,"NEW JERSEY","NJ","OTHERS",281763,2975684,163945000,159635102,86496851,0.528,0.542
1980,"NEW JERSEY","NJ","REPUBLICAN",1546557,2975684,163945000,159635102,86496851,0.528,0.542
1980,"NEW MEXICO","NM","DEMOCRAT",167826,456237,163945000,159635102,86496851,0.528,0.542
1980,"NEW MEXICO","NM","OTHERS",37632,456237,163945000,159635102,86496851,0.528,0.542
1980,"NEW MEXICO","NM","REPUBLICAN",250779,456237,163945000,159635102,86496851,0.528,0.542
1980,"NEW YORK","NY","DEMOCRAT",2728372,6201959,163945000,159635102,86496851,0.528,0.542
1980,"NEW YORK","NY","OTHERS",835887,6201959,163945000,159635102,86496851,0.528,0.542
1980,"NEW YORK","NY","REPUBLICAN",2637700,6201959,163945000,159635102,86496851,0.528,0.542
1980,"NORTH CAROLINA","NC","DEMOCRAT",875635,1855833,163945000,159635102,86496851,0.528,0.542
1980,"NORTH CAROLINA","NC","OTHERS",65180,1855833,163945000,159635102,86496851,0.528,0.542
1980,"NORTH CAROLINA","NC","REPUBLICAN",915018,1855833,163945000,159635102,86496851,0.528,0.542
1980,"NORTH DAKOTA","ND","DEMOCRAT",79189,301116,163945000,159635102,86496851,0.528,0.542
1980,"NORTH DAKOTA","ND","OTHERS",28232,301116,163945000,159635102,86496851,0.528,0.542
1980,"NORTH DAKOTA","ND","REPUBLICAN",193695,301116,163945000,159635102,86496851,0.528,0.542
1980,"OHIO","OH","DEMOCRAT",1752414,4283603,163945000,159635102,86496851,0.528,0.542
1980,"OHIO","OH","OTHERS",324644,4283603,163945000,159635102,86496851,0.528,0.542
1980,"OHIO","OH","REPUBLICAN",2206545,4283603,163945000,159635102,86496851,0.528,0.542
1980,"OKLAHOMA","OK","DEMOCRAT",402026,1149708,163945000,159635102,86496851,0.528,0.542
1980,"OKLAHOMA","OK","OTHERS",52112,1149708,163945000,159635102,86496851,0.528,0.542
1980,"OKLAHOMA","OK","REPUBLICAN",695570,1149708,163945000,159635102,86496851,0.528,0.542
1980,"OREGON","OR","DEMOCRAT",456890,1181516,163945000,159635102,86496851,0.528,0.542
1980,"OREGON","OR","OTHERS",153582,1181516,163945000,159635102,86496851,0.528,0.542
1980,"OREGON","OR","REPUBLICAN",571044,1181516,163945000,159635102,86496851,0.528,0.542
1980,"PENNSYLVANIA","PA","DEMOCRAT",1937540,4561501,163945000,159635102,86496851,0.528,0.542
1980,"PENNSYLVANIA","PA","OTHERS",362089,4561501,163945000,159635102,86496851,0.528,0.542
1980,"PENNSYLVANIA","PA","REPUBLICAN",2261872,4561501,163945000,159635102,86496851,0.528,0.542
1980,"RHODE ISLAND","RI","DEMOCRAT",198342,415967,163945000,159635102,86496851,0.528,0.542
1980,"RHODE ISLAND","RI","OTHERS",62832,415967,163945000,159635102,86496851,0.528,0.542
1980,"RHODE ISLAND","RI","REPUBLICAN",154793,415967,163945000,159635102,86496851,0.528,0.542
1980,"SOUTH CAROLINA","SC","DEMOCRAT",428220,888258,163945000,159635102,86496851,0.528,0.542
1980,"SOUTH CAROLINA","SC","OTHERS",20761,888258,163945000,159635102,86496851,0.528,0.542
1980,"SOUTH CAROLINA","SC","REPUBLICAN",439277,888258,163945000,159635102,86496851,0.528,0.542
1980,"SOUTH DAKOTA","SD","DEMOCRAT",103855,327703,163945000,159635102,86496851,0.528,0.542
